battery_id,file_id,avg_voltage,avg_temperature,avg_current,cycle_number,SoH,RUL,anomaly,anomaly_label
B0005,05122,3.5298286688693397,32.572328114029,-1.8187019641679725,1,100.0,167,1,Normal
B0005,05124,3.5373201277859705,32.72523522519307,-1.8175598506612867,2,99.45272071416713,166,1,Normal
B0005,05126,3.5437367282719,32.64286193755933,-1.8164865418840956,3,98.86138595081704,165,1,Normal
B0005,05128,3.5436661072601456,32.514876462048825,-1.8255891938692528,4,98.85671763794171,164,1,Normal
B0005,05130,3.5423432526672167,32.38234901543077,-1.8261139590277584,5,98.82348178817772,163,1,Normal
B0005,05132,3.5413347346347575,32.43418218230641,-1.8168108743168805,6,98.87821697485943,162,1,Normal
B0005,05134,3.5410250495075206,32.48041644475799,-1.816791144707133,7,98.85044855913475,161,1,Normal
B0005,05136,3.554133296801585,32.41046186109587,-1.8443412120754061,8,98.34468955151546,160,1,Normal
B0005,05138,3.5529355991467946,32.34614083129999,-1.853972745505648,9,98.29174345738103,159,1,Normal
B0005,05140,3.5512057319376997,32.27679750791685,-1.8535899338510957,10,98.2830935473199,158,1,Normal
B0005,05142,3.54929231974095,32.15709350345253,-1.863380178294828,11,98.28343204622075,157,1,Normal
B0005,05145,3.559759220648976,32.36407129853099,-1.872968810287894,12,97.72228539894276,156,1,Normal
B0005,05147,3.558081969139198,32.3181954403762,-1.8826095043160835,13,97.69805803238793,155,1,Normal
B0005,05149,3.555692244172496,32.15709029211502,-1.882536787636365,14,97.68127007692816,154,1,Normal
B0005,05151,3.5627468180175024,32.04407000314609,-1.8817935155260215,15,97.09723768751645,153,1,Normal
B0005,05153,3.5614521756489204,31.93159367491153,-1.8921861285036712,16,97.07078432300705,152,1,Normal
B0005,05155,3.5603420474985814,31.94165535902929,-1.9027629207037409,17,97.09624103091465,151,1,Normal
B0005,05157,3.5591189041401865,31.96500864547673,-1.9133470605822436,18,97.12257104811374,150,1,Normal
B0005,05159,3.557886771846508,31.966241678512723,-1.9131602105481538,19,97.10691300699017,149,1,Normal
B0005,05162,3.5520375235511916,32.37143341978575,-1.8553455745575975,20,99.49035873989015,148,1,Normal
B0005,05166,3.5525668436897124,32.70024990461686,-1.8746995273150973,21,99.5114370594272,147,1,Normal
B0005,05170,3.556794038327039,32.32266411829938,-1.8738272127883846,22,98.90599854098056,146,1,Normal
B0005,05174,3.5614100044534203,31.98795810666763,-1.883193546754683,23,98.34597999985364,145,1,Normal
B0005,05178,3.5566107947817995,31.89445652469139,-1.873239184822504,24,98.31004632950896,144,1,Normal
B0005,05182,3.5586742170266272,31.78039681801023,-1.9139593751505897,25,98.3352477236737,143,1,Normal
B0005,05186,3.564103182686904,31.688747146342205,-1.9030532722310993,26,97.71308478400267,142,1,Normal
B0005,05190,3.5595880635942723,31.596747992569153,-1.9134590742247917,27,97.75284086310275,141,1,Normal
B0005,05194,3.556833231052199,31.565586498787074,-1.913620909902553,28,97.70975921350075,140,1,Normal
B0005,05198,3.5624410850948953,31.591246670452076,-1.9025819745719057,29,97.10626880376817,139,1,Normal
B0005,05202,3.559140710685566,31.603485399391182,-1.913062163863896,30,97.17690623092355,138,1,Normal
B0005,05206,3.5573161327793144,31.91556385491565,-1.9206181171184122,31,99.74764875349146,137,1,Normal
B0005,05210,3.5618707827727376,32.081128118597164,-1.9298830859597569,32,98.61116348782735,136,1,Normal
B0005,05214,3.5617586337260088,31.84979263289625,-1.9293005284805402,33,98.02943389447215,135,1,Normal
B0005,05218,3.5597307651083123,31.46569043336201,-1.9233309877703135,34,97.45867078945712,134,1,Normal
B0005,05222,3.5575937553540915,31.409348956650316,-1.9284469980320087,35,97.205609062798,133,1,Normal
B0005,05226,3.5597237883937995,31.902247475518077,-1.9231439161693828,36,96.92374130950104,132,1,Normal
B0005,05230,3.559061771422033,31.649024294808623,-1.9170149640438081,37,96.33478867036307,131,1,Normal
B0005,05234,3.557015527748059,31.48874626238971,-1.922048805055383,38,96.03744299218224,130,1,Normal
B0005,05238,3.5562481933590964,31.329995610092634,-1.9162302821549877,39,95.5047524653008,129,1,Normal
B0005,05242,3.553275652609179,31.569551201845574,-1.9220800182578983,40,95.50497004162601,128,1,Normal
B0005,05246,3.5562664316402546,32.111426258867944,-1.9162417890311962,41,95.22672175646095,127,1,Normal
B0005,05250,3.5563095420140822,32.271676011112376,-1.9158809823517762,42,94.92739086983165,126,1,Normal
B0005,05254,3.558950851054106,31.842291659678658,-1.9114406265753041,43,95.21299593373233,125,1,Normal
B0005,05256,3.5534418211598053,31.759815453754253,-1.9158166997544155,44,94.94642085785507,124,1,Normal
B0005,05260,3.5510121537420285,31.41911167391793,-1.9151304155635374,45,94.35725054869606,123,1,Normal
B0005,05264,3.551317608213948,31.331626572312267,-1.9148485784393636,46,93.82501520146926,122,1,Normal
B0005,05268,3.549003180550162,31.359341314251374,-1.9144128654409127,47,93.5148459244402,121,1,Normal
B0005,05270,3.559764834095517,34.31088483888259,-1.9388813849818083,48,96.61385230754254,120,1,Normal
B0005,05274,3.5623454342368555,33.43585640373787,-1.927509725704535,49,96.05176972012408,119,1,Normal
B0005,05278,3.558336657621618,32.66698125020078,-1.92671859778394,50,95.19936347583841,118,1,Normal
B0005,05282,3.554013138622869,32.284234086913976,-1.9261308349663748,51,94.64205172265511,117,1,Normal
B0005,05286,3.552376095886298,32.00739178780946,-1.9202346781375208,52,94.0954729019355,116,1,Normal
B0005,05290,3.549618661283733,32.063870718860564,-1.9201011498853628,53,93.81788592880076,115,1,Normal
B0005,05294,3.54938103086703,32.43754560319043,-1.914427810545647,54,93.53268361401413,114,1,Normal
B0005,05298,3.5472118680418956,32.16809876635082,-1.908340706503589,55,92.98860334657098,113,1,Normal
B0005,05302,3.5467052098640246,32.05752645824972,-1.902207182631691,56,92.42220117908765,112,1,Normal
B0005,05306,3.544629653883431,31.97592092807272,-1.9020484449938708,57,92.13816005181206,111,1,Normal
B0005,05310,3.5436291614253195,32.21689335291319,-1.896490767906236,58,91.89475137389711,110,1,Normal
B0005,05314,3.5444946147995253,32.55632993697177,-1.895971437908019,59,91.58753289666399,109,1,Normal
B0005,05318,3.5409201846556857,32.40048085325998,-1.8899648799839273,60,91.27882263985312,108,1,Normal
B0005,05322,3.541195668799061,32.29371860868794,-1.8893703824420507,61,90.75757205607073,107,1,Normal
B0005,05326,3.540671044783382,32.13607144806779,-1.877688324343142,62,90.1958257480693,106,1,Normal
B0005,05330,3.5376048790268775,32.38268549723498,-1.8831065986697755,63,90.20094772578229,105,1,Normal
B0005,05334,3.538422485261741,32.308999514276366,-1.876359921441716,64,89.61635599169328,104,1,Normal
B0005,05336,3.53928626988912,32.56636929496716,-1.8709550260104437,65,89.3630546668135,103,1,Normal
B0005,05340,3.533690170241391,32.465429517518345,-1.870559986828954,66,89.08512057704354,102,1,Normal
B0005,05344,3.534367734544494,32.347056454418095,-1.8640049795794804,67,88.48181591266642,101,1,Normal
B0005,05348,3.5312941932103548,32.371538940646154,-1.8636932149873204,68,88.22348186450746,100,1,Normal
B0005,05352,3.5309134771684274,32.45549347979197,-1.8578203963019067,69,87.94754127611387,99,1,Normal
B0005,05356,3.5287226893409898,32.50017194695606,-1.8572160981955346,70,87.67917699307695,98,1,Normal
B0005,05360,3.52625493581969,32.50100298369444,-1.8568340008006832,71,87.37605584239752,97,1,Normal
B0005,05364,3.528684324337005,32.4728927422438,-1.844888650021881,72,86.79432148624365,96,1,Normal
B0005,05368,3.525556939424901,32.50480154634882,-1.8444180038305806,73,86.53778753000239,95,1,Normal
B0005,05372,3.522680564679373,32.51218336210202,-1.8438790389835118,74,86.26582682073703,94,1,Normal
B0005,05376,3.524673458789008,32.45692821941515,-1.83711254029409,75,85.66549999565572,93,1,Normal
B0005,05380,3.5213155754526824,32.447059186431154,-1.8315957075983758,76,85.4187849075412,92,1,Normal
B0005,05384,3.5180338648646203,32.328896549662595,-1.8311195242792309,77,85.37321895986368,91,1,Normal
